Bar food expensive and .####[['food', 'food_drinks quality', 'negative', 'not very good'], ['food', 'food_drinks prices', 'negative', 'expensive']]
We use the parking lot just outside the hotel for ' temporary' parking 10 night , love 'a' coffee shop for a quick snack or breakfast and haven t had issues w the , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the Garage lot just adjacent the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had problems w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use a parking yard just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and oasis t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside it hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t encountered issues w the , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel 'at' overnight parking 10 night , love the coffee shop for a quick Munch or breakfast and Sanctuary t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
You use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a hurry snack or Lunch and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a speedy munchie or snack and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast ... also haven t had issues 'with' the staff , service 'and' anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
Us use the parking lot just outside the hotel for after-hours parking 10 night , love the coffee shop for a quick Bite or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
Us use it parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast ...or haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel 'at' overnight parking 10 night , love the coffee shop for a quick beverage or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel because overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven the had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee Café because a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee cafe for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love A coffee shop 'at' a quick snack or breakfast and haven t had issues w the staff , service and anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use this parking parking yard just 'adjacent' the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking Parking lot just outside the hotel for overnight parking 10 night , enjoy the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service 'and' anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the inn for overnight parking 10 Evening , love the coffee shop for a speedy snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use A parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven  had issues with the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , like the coffee shop for a quick snack or breakfast and haven the had issues 'with' the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just Apart the hotel for overnight parking 10 night , love the coffee shop for a quick snack and breakfast and haven t had issues w the staff , service either anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for stayover parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 evening , love the coffee store for a quick snack also breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the garage lot just outside a hotel for overnight storage 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight space 10 night , love the coffee shop for a rapid snack or breakfast and haven t had issues w this staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just Apart the hotel at overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the tea shop for a quick snack or breakfast and haven t had issues /with the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the café shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for ' temporary' parking 10 night , love the coffee shop for a quick munchie or breakfast but haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We Utilize the parking lot just outside the hotel for overnight parking 10 night , love a coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking yard just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just 'adjacent' the hotel for overnight lot 10 night , love the coffee café for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking yard just outside a hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
Us use the lot lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick  or breakfast and haven that had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight space 10 night , love the coffee shop for a Rapid snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast ...or oasis t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , like the café shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the Café shop For a quick snack or breakfast and haven t had issues w the staff , or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use 'a' parking parking yard just outside 'a' hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a Rapid snack or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , enjoy the coffee shop for a quick beverage or breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or dinner and haven t had issues w 'a' staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the Inn for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven t had issues w the staff , service and anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or breakfast and haven overnight had issues w the staff , service And anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We use the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack either breakfast and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
We utilize the parking lot just outside the hotel for overnight parking 10 night , love the coffee shop for a quick snack or dinner and haven t had issues w the staff , service or anything .####[['staff', 'service general', 'positive', "haven't had issues"], ['service', 'service general', 'positive', "haven't had issues"]]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
####[['NULL', 'service general', 'positive', 'could not do enough for us']]
The location is just off Times Square , but is 'neither' overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
It location is just off Times Square , but lies not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
'This' location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly chaotic and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but is not overly crowded and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is 'neither' overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but is not overly Crowded and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location seems just off Times Square , but is not overly busy convenient is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location seems just off Times Square , but is not overly busy but is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
This location is just off Times Square , but lies not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but lies not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location Aren't just off Times Square , but is not overly busy or is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy 'but' is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
This location is just off Times Square , but is not unnecessarily busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but is not overly Crowded 'but' is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but is not  Tumultuous and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy or is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is just off Times Square , but is slightly overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location Aren't just off Times Square , but is 'neither' overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
This location is just off Times Square , but is not overly Crowded and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
This location is just off Times Square , but is slightly overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but seems not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location exists just off Times Square , but is not excessively busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The is just off Times Square , but is not overly Loud and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but lies not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The is just off Times Square , but is not overly Crowded and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
Such location lies just off Times Square , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
The location is , but is not overly busy and is very convenient for getting around .####[['location', 'location general', 'positive', 'just off Times Square'], ['location', 'location general', 'positive', 'very convenient for getting around']]
